version,release_year,text_name_cf,cf_id,status,count
17,2024,2023-09,2,Withdrawn,5
17,2024,2023-09,2,Rejected,1
17,2024,2023-09,2,Returned with Feedback,14
17,2024,2023-11,3,Committed,86
17,2024,2023-11,3,Moved to next CF,235
17,2024,2023-11,3,Withdrawn,14
17,2024,2023-11,3,Rejected,9
17,2024,2023-11,3,Returned with Feedback,3
17,2024,2024-01,4,Committed,75
17,2024,2024-01,4,Moved to next CF,210
17,2024,2024-01,4,Withdrawn,16
17,2024,2024-01,4,Rejected,2
17,2024,2024-01,4,Returned with Feedback,49
17,2024,2024-03,5,Committed,91
17,2024,2024-03,5,Moved to next CF,7
17,2024,2024-03,5,Withdrawn,9
17,2024,2024-03,5,Rejected,5
17,2024,2024-03,5,Returned with Feedback,3
